Transaction Number,Business Date,PLU/Barcode,Item,Quantity,Amount incl GST,Tax Amount,Tax Name,Tax Rate,Sales Type,Shift,Employee,Tender,Transaction Time,
"251220,""08/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""81702"",""Employee, 4"",""BON TIR,Card"",""08/06/2022 04:42:08 AM"","
"251227,""08/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""81702"",""Employee, 4"",""Card"",""08/06/2022 05:26:57 AM"","
"251250,""08/06/2022"",""2000033114154"",""GRILLED SANDWICH CHICKEN"",""1"",""11.90"",""0.88"",""VAT 8%"",""8.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Cash PLN,Cash PLN"",""08/06/2022 06:23:38 AM"","
"251280,""08/06/2022"",""0000001429599"",""BAQUETTE SHRIMP"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Cash PLN,Cash PLN"",""08/06/2022 08:06:38 AM"","
"251327,""08/06/2022"",""0000001004115"",""FLAT WHITE"",""1"",""8.99"",""1.68"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Card"",""08/06/2022 09:21:49 AM"","
"251328,""08/06/2022"",""0000001009498"",""LATTE SEASONAL"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Cash PLN,Cash PLN"",""08/06/2022 09:28:15 AM"","
"251333,""08/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Cash PLN,Cash PLN"",""08/06/2022 09:34:19 AM"","
"251361,""08/06/2022"",""2000050110108"",""PRODUCT 5"",""1"",""29.99"",""5.61"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Card"",""08/06/2022 10:29:54 AM"","
"251368,""08/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Cash PLN,Cash PLN"",""08/06/2022 10:45:20 AM"","
"251401,""08/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Card"",""08/06/2022 11:51:17 AM"","
"251401,""08/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Card"",""08/06/2022 11:51:17 AM"","
"251404,""08/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Card"",""08/06/2022 11:55:56 AM"","
"251410,""08/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Card"",""08/06/2022 12:09:19 PM"","
"251413,""08/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Card"",""08/06/2022 12:21:49 PM"","
"251415,""08/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Cash PLN,Cash PLN"",""08/06/2022 12:25:56 PM"","
"251415,""08/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Cash PLN,Cash PLN"",""08/06/2022 12:25:56 PM"","
"251455,""08/06/2022"",""2000013625380"",""PRODUCT 2"",""1"",""159.96"",""29.91"",""VAT 23%"",""23.00%"",""Regular Sales"",""81802"",""Employee, 1"",""Fleet card"",""08/06/2022 01:48:22 PM"","
"251466,""08/06/2022"",""0000001004100"",""CAPPUCINO"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""81902"",""Employee, 7"",""Card"",""08/06/2022 02:24:15 PM"","
"251491,""08/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""81902"",""Employee, 7"",""Fleet card"",""08/06/2022 04:16:20 PM"","
"251496,""08/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""81902"",""Employee, 7"",""Cash PLN,Cash PLN"",""08/06/2022 04:28:33 PM"","
"251507,""08/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""81902"",""Employee, 7"",""Card"",""08/06/2022 04:47:36 PM"","
"251564,""08/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""5.43"",""0.40"",""VAT 8%"",""8.00%"",""Regular Sales"",""81902"",""Employee, 7"",""Card"",""08/06/2022 09:16:41 PM"","
"251564,""08/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""5.42"",""0.40"",""VAT 8%"",""8.00%"",""Regular Sales"",""81902"",""Employee, 7"",""Card"",""08/06/2022 09:16:41 PM"","
"251591,""08/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82002"",""Employee, 4"",""Cash PLN,Cash PLN"",""08/06/2022 11:35:52 PM"","
"323567,""08/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""54003"",""Employee, 1"",""Card"",""08/06/2022 06:01:35 AM"","
"323600,""08/06/2022"",""2000013625380"",""PRODUCT 2"",""1"",""159.96"",""29.91"",""VAT 23%"",""23.00%"",""Regular Sales"",""54003"",""Employee, 1"",""Card"",""08/06/2022 11:33:13 AM"","
"12502,""09/06/2022"",""0000001429599"",""BAQUETTE SHRIMP"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76201"",""Employee, 2"",""Cash PLN,Cash PLN"",""09/06/2022 01:12:33 AM"","
"12528,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76201"",""Employee, 2"",""Card"",""09/06/2022 05:16:45 AM"","
"12541,""09/06/2022"",""2000033113959"",""BAQUETTE AMERICAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 05:52:16 AM"","
"12541,""09/06/2022"",""2000033113980"",""BAQUETTE COUNTRY"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 05:52:16 AM"","
"12552,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Card"",""09/06/2022 06:16:08 AM"","
"12556,""09/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 06:23:00 AM"","
"12560,""09/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 06:32:42 AM"","
"12566,""09/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN"",""09/06/2022 06:39:18 AM"","
"12582,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Loyalty points,Card"",""09/06/2022 07:14:52 AM"","
"12598,""09/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN"",""09/06/2022 08:09:21 AM"","
"12609,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Loyalty points"",""09/06/2022 08:21:57 AM"","
"12611,""09/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Card"",""09/06/2022 08:24:59 AM"","
"12619,""09/06/2022"",""0000001352916"",""MOCCA"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 08:38:19 AM"","
"12625,""09/06/2022"",""0000001352916"",""MOCCA"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN"",""09/06/2022 08:48:49 AM"","
"12629,""09/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN"",""09/06/2022 08:52:28 AM"","
"12653,""09/06/2022"",""0000001004100"",""CAPPUCINO"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 09:38:20 AM"","
"12656,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 09:44:05 AM"","
"12658,""09/06/2022"",""2000050110894"",""PRODUCT 4"",""1"",""50.98"",""9.53"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Fleet card"",""09/06/2022 09:48:45 AM"","
"12659,""09/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 09:49:51 AM"","
"12663,""09/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Card"",""09/06/2022 09:55:34 AM"","
"12673,""09/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 10:18:41 AM"","
"12673,""09/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 10:18:41 AM"","
"12675,""09/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Fleet card"",""09/06/2022 10:20:57 AM"","
"12679,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Card"",""09/06/2022 10:25:09 AM"","
"12685,""09/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Fleet card"",""09/06/2022 10:36:03 AM"","
"12721,""09/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Card"",""09/06/2022 11:42:30 AM"","
"12735,""09/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Card"",""09/06/2022 12:12:15 PM"","
"12746,""09/06/2022"",""0000001367965"",""BURGER RUMP STEAK"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76301"",""Employee, 6"",""Cash PLN,Cash PLN"",""09/06/2022 12:27:27 PM"","
"12797,""09/06/2022"",""0000001352916"",""MOCCA"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 02:00:41 PM"","
"12830,""09/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 03:00:22 PM"","
"12837,""09/06/2022"",""0000001009498"",""LATTE SEASONAL"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 03:16:28 PM"","
"12854,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 04:08:02 PM"","
"12854,""09/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 04:08:02 PM"","
"12862,""09/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 04:19:46 PM"","
"12866,""09/06/2022"",""0000001009498"",""LATTE SEASONAL"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 04:36:28 PM"","
"12869,""09/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 04:49:44 PM"","
"12875,""09/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 05:00:49 PM"","
"12900,""09/06/2022"",""2000050110832"",""PRODUCT 1"",""1"",""119.96"",""22.43"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Fleet card"",""09/06/2022 05:57:43 PM"","
"12924,""09/06/2022"",""2000050110641"",""PRODUCT 3"",""1"",""67.98"",""12.71"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Fleet card"",""09/06/2022 06:47:59 PM"","
"12962,""09/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 07:45:12 PM"","
"12963,""09/06/2022"",""2000013625380"",""PRODUCT 2"",""1"",""119.96"",""22.43"",""VAT 23%"",""23.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 07:51:01 PM"","
"12987,""09/06/2022"",""0000001357048"",""BURGER VEGE"",""1"",""5.94"",""0.44"",""VAT 8%"",""8.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 09:11:00 PM"","
"12987,""09/06/2022"",""0000001367965"",""BURGER RUMP STEAK"",""1"",""5.93"",""0.44"",""VAT 8%"",""8.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 09:11:00 PM"","
"12990,""09/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""5.36"",""0.40"",""VAT 8%"",""8.00%"",""Regular Sales"",""76401"",""Employee, 7"",""Card"",""09/06/2022 09:12:53 PM"","
"12997,""09/06/2022"",""0000001352809"",""MOCCA FRAPPE"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""76501"",""Employee, 2"",""Card"",""09/06/2022 09:40:14 PM"","
"13014,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""76501"",""Employee, 2"",""Card"",""09/06/2022 11:19:15 PM"","
"13014,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""76501"",""Employee, 2"",""Card"",""09/06/2022 11:19:15 PM"","
"251668,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Cash PLN,Cash PLN"",""09/06/2022 08:06:54 AM"","
"251669,""09/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Fleet card"",""09/06/2022 08:09:06 AM"","
"251672,""09/06/2022"",""0000001004115"",""FLAT WHITE"",""1"",""8.99"",""1.68"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Cash PLN,Cash PLN"",""09/06/2022 08:14:37 AM"","
"251672,""09/06/2022"",""0000001004115"",""FLAT WHITE"",""1"",""8.99"",""1.68"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Cash PLN,Cash PLN"",""09/06/2022 08:14:37 AM"","
"251678,""09/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Cash PLN,Cash PLN"",""09/06/2022 08:27:54 AM"","
"251683,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Card"",""09/06/2022 08:47:09 AM"","
"251691,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Card"",""09/06/2022 09:28:31 AM"","
"251703,""09/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Cash PLN"",""09/06/2022 10:35:20 AM"","
"251711,""09/06/2022"",""2000050110108"",""PRODUCT 5"",""1"",""29.99"",""5.61"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Fleet card"",""09/06/2022 11:10:56 AM"","
"251712,""09/06/2022"",""0000001004100"",""CAPPUCINO"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Loyalty points"",""09/06/2022 11:12:48 AM"","
"251731,""09/06/2022"",""0000001429599"",""BAQUETTE SHRIMP"",""1"",""5.29"",""0.39"",""VAT 8%"",""8.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Card"",""09/06/2022 12:12:02 PM"","
"251735,""09/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Card"",""09/06/2022 12:30:23 PM"","
"251749,""09/06/2022"",""2000033114154"",""GRILLED SANDWICH CHICKEN"",""1"",""11.90"",""0.88"",""VAT 8%"",""8.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Card"",""09/06/2022 01:35:39 PM"","
"251749,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Card"",""09/06/2022 01:35:39 PM"","
"251749,""09/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82202"",""Employee, 3"",""Card"",""09/06/2022 01:35:39 PM"","
"251784,""09/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82302"",""Employee, 9"",""Card"",""09/06/2022 02:51:33 PM"","
"251784,""09/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82302"",""Employee, 9"",""Card"",""09/06/2022 02:51:33 PM"","
"251807,""09/06/2022"",""2000033113980"",""BAQUETTE COUNTRY"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""82302"",""Employee, 9"",""Card"",""09/06/2022 03:49:11 PM"","
"251807,""09/06/2022"",""0000001004115"",""FLAT WHITE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""82302"",""Employee, 9"",""Card"",""09/06/2022 03:49:11 PM"","
"251836,""09/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82302"",""Employee, 9"",""Cash PLN"",""09/06/2022 04:49:06 PM"","
"251900,""09/06/2022"",""0000001352916"",""MOCCA"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""82302"",""Employee, 9"",""Card"",""09/06/2022 07:45:32 PM"","
"251913,""09/06/2022"",""0000001004097"",""LATTE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""82302"",""Employee, 9"",""Card"",""09/06/2022 08:12:31 PM"","
"13032,""10/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76601"",""Employee, 2"",""Card"",""10/06/2022 03:27:59 AM"","
"13039,""10/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76601"",""Employee, 2"",""Cash PLN"",""10/06/2022 04:17:45 AM"","
"13039,""10/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76601"",""Employee, 2"",""Cash PLN"",""10/06/2022 04:17:45 AM"","
"13040,""10/06/2022"",""0000001004115"",""FLAT WHITE"",""1"",""8.99"",""1.68"",""VAT 23%"",""23.00%"",""Regular Sales"",""76601"",""Employee, 2"",""Cash PLN,Cash PLN"",""10/06/2022 04:20:52 AM"","
"13044,""10/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""76601"",""Employee, 2"",""Card"",""10/06/2022 04:42:12 AM"","
"13044,""10/06/2022"",""0000001367965"",""BURGER RUMP STEAK"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76601"",""Employee, 2"",""Card"",""10/06/2022 04:42:12 AM"","
"13051,""10/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76601"",""Employee, 2"",""Card"",""10/06/2022 05:07:13 AM"","
"13095,""10/06/2022"",""2000013625380"",""PRODUCT 2"",""1"",""159.96"",""29.91"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Fleet card"",""10/06/2022 06:40:26 AM"","
"13099,""10/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 06:56:57 AM"","
"13141,""10/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 09:09:18 AM"","
"13141,""10/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 09:09:18 AM"","
"13142,""10/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 09:10:17 AM"","
"13146,""10/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 09:13:25 AM"","
"13150,""10/06/2022"",""2000033113980"",""BAQUETTE COUNTRY"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 09:24:09 AM"","
"13150,""10/06/2022"",""0000001009498"",""LATTE SEASONAL"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 09:24:09 AM"","
"13168,""10/06/2022"",""2000033113959"",""BAQUETTE AMERICAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 09:46:53 AM"","
"13175,""10/06/2022"",""0000001217733"",""BURGER CHICKEN"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Cash PLN,Cash PLN"",""10/06/2022 09:55:09 AM"","
"13180,""10/06/2022"",""2000033113980"",""BAQUETTE COUNTRY"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 10:01:07 AM"","
"13185,""10/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Cash PLN,Cash PLN"",""10/06/2022 10:19:15 AM"","
"13202,""10/06/2022"",""2000033114154"",""GRILLED SANDWICH CHICKEN"",""1"",""11.90"",""0.88"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Cash PLN"",""10/06/2022 10:46:04 AM"","
"13205,""10/06/2022"",""0000001004115"",""FLAT WHITE"",""1"",""8.99"",""1.68"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 11:00:55 AM"","
"13228,""10/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Cash PLN,Cash PLN"",""10/06/2022 11:43:45 AM"","
"13240,""10/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Cash PLN,Cash PLN"",""10/06/2022 12:09:48 PM"","
"13255,""10/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Cash PLN,Cash PLN"",""10/06/2022 12:39:03 PM"","
"13261,""10/06/2022"",""0000001004100"",""CAPPUCINO"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""76701"",""Employee, 3"",""Card"",""10/06/2022 12:47:56 PM"","
