Transaction Number,Business Date,PLU/Barcode,Item,Quantity,Amount incl GST,Tax Amount,Tax Name,Tax Rate,Sales Type,Shift,Employee,Tender,Transaction Time,
"199244,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""BON TIR,Cash PLN"",""01/06/2022 11:14:23 AM"","
"199247,""01/06/2022"",""2000050110108"",""PRODUCT 5"",""1"",""29.99"",""5.61"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Fleet card"",""01/06/2022 11:16:52 AM"","
"199267,""01/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73001"",""Employee, 2"",""BON SDX,Card"",""01/06/2022 11:53:34 AM"","
"199272,""01/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Fleet card"",""01/06/2022 12:00:48 PM"","
"199296,""01/06/2022"",""0000001009498"",""LATTE SEASONAL"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 12:51:43 PM"","
"199296,""01/06/2022"",""0000001006436"",""CARMEL MACCHIATO FRAPPE"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 12:51:43 PM"","
"199304,""01/06/2022"",""2000033114154"",""GRILLED SANDWICH CHICKEN"",""1"",""11.90"",""0.88"",""VAT 8%"",""8.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 12:59:07 PM"","
"199312,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 01:06:44 PM"","
"199312,""01/06/2022"",""0000001004097"",""LATTE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 01:06:44 PM"","
"199324,""01/06/2022"",""0000001006436"",""CARMEL MACCHIATO FRAPPE"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Card"",""01/06/2022 01:33:16 PM"","
"199337,""01/06/2022"",""0000001004100"",""CAPPUCINO"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Cash PLN,Cash PLN"",""01/06/2022 01:51:31 PM"","
"199349,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Cash PLN"",""01/06/2022 02:08:20 PM"","
"199349,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Cash PLN"",""01/06/2022 02:08:20 PM"","
"199368,""01/06/2022"",""2000050110832"",""PRODUCT 1"",""1"",""119.96"",""22.43"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Cash PLN,Cash PLN"",""01/06/2022 02:45:46 PM"","
"199426,""01/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Cash PLN,Cash PLN"",""01/06/2022 05:08:54 PM"","
"199430,""01/06/2022"",""0000001006435"",""FRAPPE COFFEE"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Cash PLN,Cash PLN"",""01/06/2022 05:19:18 PM"","
"199469,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Card"",""01/06/2022 07:11:08 PM"","
"199477,""01/06/2022"",""2000050120107"",""PRODUCT 6"",""1"",""26.99"",""5.05"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Cash PLN"",""01/06/2022 07:35:19 PM"","
"199490,""01/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""16.90"",""1.25"",""VAT 8%"",""8.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Cash PLN,Cash PLN"",""01/06/2022 08:15:06 PM"","
"199503,""01/06/2022"",""2000050110108"",""PRODUCT 5"",""1"",""29.99"",""5.61"",""VAT 23%"",""23.00%"",""Regular Sales"",""73101"",""Employee, 3"",""Card"",""01/06/2022 08:47:07 PM"","
"248732,""01/06/2022"",""0000001009498"",""LATTE SEASONAL"",""1"",""13.99"",""2.62"",""VAT 23%"",""23.00%"",""Regular Sales"",""78702"",""Employee, 3"",""Card"",""01/06/2022 04:42:04 AM"","
"248755,""01/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""8.00"",""0.59"",""VAT 8%"",""8.00%"",""Regular Sales"",""78702"",""Employee, 3"",""Card"",""01/06/2022 05:56:23 AM"","
